,Sentence,sequences,length,Emotion
5184,feeling little melancholy tonight like paint door,"['feeling', 'little', 'melancholy', 'tonight', 'like', 'paint', 'door']",7,sadness
5185,know feeling damn awkward,"['know', 'feeling', 'damn', 'awkward']",4,sadness
5187,feel like want stop think muscle sister tough,"['feel', 'like', 'want', 'stop', 'think', 'muscle', 'sister', 'tough']",8,fear
5188,feel ease moment last night,"['feel', 'ease', 'moment', 'last', 'night']",5,sadness
5190,think came weird catholic way raised feel ashamed sex,"['think', 'came', 'weird', 'catholic', 'way', 'raised', 'feel', 'ashamed', 'sex']",9,sadness
5191,speaking right know lot people feel drained non closure never get done something,"['speaking', 'right', 'know', 'lot', 'people', 'feel', 'drained', 'non', 'closure', 'never', 'get', 'done', 'something']",13,sadness
5193,feel church luminary back deluxe,"['feel', 'church', 'luminary', 'back', 'deluxe']",5,anger
5194,still feeling little hesitant plunging multitude colored pencil nonetheless,"['still', 'feeling', 'little', 'hesitant', 'plunging', 'multitude', 'colored', 'pencil', 'nonetheless']",9,fear
5195,feel dull many time headache many time insomnia,"['feel', 'dull', 'many', 'time', 'headache', 'many', 'time', 'insomnia']",8,sadness
5202,feel,['feel'],1,sadness
5203,want much leave feeling awkward time,"['want', 'much', 'leave', 'feeling', 'awkward', 'time']",6,sadness
5204,get bottom feeling berate feeling dissatisfied,"['get', 'bottom', 'feeling', 'berate', 'feeling', 'dissatisfied']",6,anger
5206,often feel disappointed decision call name,"['often', 'feel', 'disappointed', 'decision', 'call', 'name']",6,sadness
5207,feel listless,"['feel', 'listless']",2,sadness
5209,gigantic spider face flat,"['gigantic', 'spider', 'face', 'flat']",4,anger
5212,always feel need break awkward silence make even awkward,"['always', 'feel', 'need', 'break', 'awkward', 'silence', 'make', 'even', 'awkward']",9,sadness
5215,feeling really today state house,"['feeling', 'really', 'today', 'state', 'house']",5,sadness
5216,feel like designer shy away color kitchen love incorporated bright splash orange blue green throughout space,"['feel', 'like', 'designer', 'shy', 'away', 'color', 'kitchen', 'love', 'incorporated', 'bright', 'splash', 'orange', 'blue', 'green', 'throughout', 'space']",16,fear
5217,feel like awkward outsider start feel homesick,"['feel', 'like', 'awkward', 'outsider', 'start', 'feel', 'homesick']",7,sadness
5218,really feel honest,"['really', 'feel', 'honest']",3,anger
5221,worse feel needy man street suddenly threat peace freedom,"['worse', 'feel', 'needy', 'man', 'street', 'suddenly', 'threat', 'peace', 'freedom']",9,sadness
5222,still feel terribly,"['still', 'feel', 'terribly']",3,sadness
5229,need get back work introduction feel woeful inadequate writing ill make short,"['need', 'get', 'back', 'work', 'introduction', 'feel', 'woeful', 'inadequate', 'writing', 'ill', 'make', 'short']",12,sadness
5230,guess could say teeter right edge feel like dangerous,"['guess', 'could', 'say', 'teeter', 'right', 'edge', 'feel', 'like', 'dangerous']",9,anger
5232,feel like ya maybe dumb weird strange,"['feel', 'like', 'ya', 'maybe', 'dumb', 'weird', 'strange']",7,sadness
5233,longer angst inside kind passion feeling wronged drove initial connection,"['longer', 'angst', 'inside', 'kind', 'passion', 'feeling', 'wronged', 'drove', 'initial', 'connection']",10,anger
5234,feel unloved he god choice whatever,"['feel', 'unloved', 'he', 'god', 'choice', 'whatever']",6,sadness
5235,feel like shaken around thrown,"['feel', 'like', 'shaken', 'around', 'thrown']",5,fear
5236,think common feel helpless time like,"['think', 'common', 'feel', 'helpless', 'time', 'like']",6,sadness
5237,feel like long enough would emotion back could either people cant hide emotion would support back feeling would safe without school work,"['feel', 'like', 'long', 'enough', 'would', 'emotion', 'back', 'could', 'either', 'people', 'cant', 'hide', 'emotion', 'would', 'support', 'back', 'feeling', 'would', 'safe', 'without', 'school', 'work']",22,anger
5241,feel empty,"['feel', 'empty']",2,sadness
5247,absolutely refuse feel insecure look,"['absolutely', 'refuse', 'feel', 'insecure', 'look']",5,fear
5249,feel never thank enough helping girl past become today,"['feel', 'never', 'thank', 'enough', 'helping', 'girl', 'past', 'become', 'today']",9,sadness
5250,knew would feel empty would potential feel like wasnt well wasnt passing folk,"['knew', 'would', 'feel', 'empty', 'would', 'potential', 'feel', 'like', 'wasnt', 'well', 'wasnt', 'passing', 'folk']",13,sadness
5253,admit feeling hubby want join drink agreed,"['admit', 'feeling', 'hubby', 'want', 'join', 'drink', 'agreed']",7,anger
5254,feel lame saying however immature may something imagine time,"['feel', 'lame', 'saying', 'however', 'immature', 'may', 'something', 'imagine', 'time']",9,sadness
5255,love tango family sometimes especially feeling ugly awkward like outsider need something tango get know everyone,"['love', 'tango', 'family', 'sometimes', 'especially', 'feeling', 'ugly', 'awkward', 'like', 'outsider', 'need', 'something', 'tango', 'get', 'know', 'everyone']",16,sadness
5256,guess constantly feeling unhappy around person sign remove person life,"['guess', 'constantly', 'feeling', 'unhappy', 'around', 'person', 'sign', 'remove', 'person', 'life']",10,sadness
5257,feel tortured sense wrong,"['feel', 'tortured', 'sense', 'wrong']",4,fear
5258,find feeling irritable run mental worked,"['find', 'feeling', 'irritable', 'run', 'mental', 'worked']",6,anger
5259,feeling quite weepy get rid,"['feeling', 'quite', 'weepy', 'get', 'rid']",5,sadness
5260,feel like finally part organization rather timid observer,"['feel', 'like', 'finally', 'part', 'organization', 'rather', 'timid', 'observer']",8,fear
5261,snapping everybody feeling grumpy general,"['snapping', 'everybody', 'feeling', 'grumpy', 'general']",5,anger
5262,nearly traffic accident car,"['nearly', 'traffic', 'accident', 'car']",4,fear
5263,feel look dull going match colour colour going put final cover think white black either red blue,"['feel', 'look', 'dull', 'going', 'match', 'colour', 'colour', 'going', 'put', 'final', 'cover', 'think', 'white', 'black', 'either', 'red', 'blue']",17,sadness
5264,guess mild pain made feel even impatient get,"['guess', 'mild', 'pain', 'made', 'feel', 'even', 'impatient', 'get']",8,anger
5265,starred gaping cum filled ring could feel cock hardening vain hope goddess would wait another day,"['starred', 'gaping', 'cum', 'filled', 'ring', 'could', 'feel', 'cock', 'hardening', 'vain', 'hope', 'goddess', 'would', 'wait', 'another', 'day']",16,sadness
5268,feel isolated much driving bad road,"['feel', 'isolated', 'much', 'driving', 'bad', 'road']",6,sadness
5272,feel dont need dumb reason legitimize excuse way feeling,"['feel', 'dont', 'need', 'dumb', 'reason', 'legitimize', 'excuse', 'way', 'feeling']",9,sadness
5273,feel weight decision gone bad,"['feel', 'weight', 'decision', 'gone', 'bad']",5,sadness
5274,simply feeling distracted though suppose study cell,"['simply', 'feeling', 'distracted', 'though', 'suppose', 'study', 'cell']",7,anger
5275,feel band perhaps distracted dancer around,"['feel', 'band', 'perhaps', 'distracted', 'dancer', 'around']",6,anger
5277,potter around one bed flat feel little bit like unfortunate version,"['potter', 'around', 'one', 'bed', 'flat', 'feel', 'little', 'bit', 'like', 'unfortunate', 'version']",11,sadness
5278,get upset little tired work usual feel little,"['get', 'upset', 'little', 'tired', 'work', 'usual', 'feel', 'little']",8,sadness
5285,feeling low usually want lay bed nothing,"['feeling', 'low', 'usually', 'want', 'lay', 'bed', 'nothing']",7,sadness
5286,know day going feel,"['know', 'day', 'going', 'feel']",4,sadness
5290,feeling nervous,"['feeling', 'nervous']",2,fear
5291,going feel,"['going', 'feel']",2,anger
5292,feel hesitant around,"['feel', 'hesitant', 'around']",3,fear
5296,still feel really regretful leaving,"['still', 'feel', 'really', 'regretful', 'leaving']",5,sadness
5297,could listen word suddenly feel incredibly helpless,"['could', 'listen', 'word', 'suddenly', 'feel', 'incredibly', 'helpless']",7,sadness
5299,feel homework week holiday target blank title class alt,"['feel', 'homework', 'week', 'holiday', 'target', 'blank', 'title', 'class', 'alt']",9,sadness
5300,guess trying say abusive crushing dream loss job real reason feel depressed,"['guess', 'trying', 'say', 'abusive', 'crushing', 'dream', 'loss', 'job', 'real', 'reason', 'feel', 'depressed']",12,sadness
5303,get sleep feeling quite irritable restless every time dropping sleep mosquito would land face squeal around ear,"['get', 'sleep', 'feeling', 'quite', 'irritable', 'restless', 'every', 'time', 'dropping', 'sleep', 'mosquito', 'would', 'land', 'face', 'squeal', 'around', 'ear']",17,anger
5306,feed strongly feel feeding dog food want live forever,"['feed', 'strongly', 'feel', 'feeding', 'dog', 'food', 'want', 'live', 'forever']",9,sadness
5307,feel indecisive feel like security usually feel ground beneath foot suddenly gone left feeling wobbly unhappy,"['feel', 'indecisive', 'feel', 'like', 'security', 'usually', 'feel', 'ground', 'beneath', 'foot', 'suddenly', 'gone', 'left', 'feeling', 'wobbly', 'unhappy']",16,fear
5308,love projector old old smell displeasing old slightly musty early feel like little episode mad men set watch something,"['love', 'projector', 'old', 'old', 'smell', 'displeasing', 'old', 'slightly', 'musty', 'early', 'feel', 'like', 'little', 'episode', 'mad', 'men', 'set', 'watch', 'something']",19,anger
5309,also hope understand feel angry dont support hat rule turn school event sans hat,"['also', 'hope', 'understand', 'feel', 'angry', 'dont', 'support', 'hat', 'rule', 'turn', 'school', 'event', 'sans', 'hat']",14,anger
5310,feel hurt,"['feel', 'hurt']",2,sadness
5311,relative house broken,"['relative', 'house', 'broken']",3,fear
5314,feel like people shamed,"['feel', 'like', 'people', 'shamed']",4,sadness
5317,feeling sad right,"['feeling', 'sad', 'right']",3,anger
5319,feel worthless beaten broken,"['feel', 'worthless', 'beaten', 'broken']",4,sadness
5321,feel like dirty,"['feel', 'like', 'dirty']",3,sadness
5322,feel completely listless running auto,"['feel', 'completely', 'listless', 'running', 'auto']",5,sadness
5323,feel like quite neglectful say alive happy,"['feel', 'like', 'quite', 'neglectful', 'say', 'alive', 'happy']",7,sadness
5326,hate feeling indecisive,"['hate', 'feeling', 'indecisive']",3,fear
5327,feel job let know might another holiday,"['feel', 'job', 'let', 'know', 'might', 'another', 'holiday']",7,sadness
5328,feel exhausted done reading like live multiple life span day,"['feel', 'exhausted', 'done', 'reading', 'like', 'live', 'multiple', 'life', 'span', 'day']",10,sadness
5329,write journal something good keeping secret world although feel idiotic bliss watch news,"['write', 'journal', 'something', 'good', 'keeping', 'secret', 'world', 'although', 'feel', 'idiotic', 'bliss', 'watch', 'news']",13,sadness
5331,feel getting timid day,"['feel', 'getting', 'timid', 'day']",4,fear
5334,guess feeling pretty hesitant,"['guess', 'feeling', 'pretty', 'hesitant']",4,fear
5336,may rant feel least bit,"['may', 'rant', 'feel', 'least', 'bit']",5,sadness
5337,one bearing pain anguish yet one feel hurt as still showing,"['one', 'bearing', 'pain', 'anguish', 'yet', 'one', 'feel', 'hurt', 'as', 'still', 'showing']",11,sadness
5338,feel unsure everything life,"['feel', 'unsure', 'everything', 'life']",4,fear
5341,still feel muscle aching,"['still', 'feel', 'muscle', 'aching']",4,sadness
5343,going say make feel unloved thats overly dramatic,"['going', 'say', 'make', 'feel', 'unloved', 'thats', 'overly', 'dramatic']",8,sadness
5345,figured feel feel lot feeling come trying figure certain negative emotion exist especially life pretty damn good time ya,"['figured', 'feel', 'feel', 'lot', 'feeling', 'come', 'trying', 'figure', 'certain', 'negative', 'emotion', 'exist', 'especially', 'life', 'pretty', 'damn', 'good', 'time', 'ya']",19,sadness
5346,would feel timid wearing id try get dirty,"['would', 'feel', 'timid', 'wearing', 'id', 'try', 'get', 'dirty']",8,fear
5347,feel,['feel'],1,sadness
5348,feel end day usually discover done,"['feel', 'end', 'day', 'usually', 'discover', 'done']",6,sadness
5350,tend discomforting feeling maybe get disturbed sense emotion play way book,"['tend', 'discomforting', 'feeling', 'maybe', 'get', 'disturbed', 'sense', 'emotion', 'play', 'way', 'book']",11,sadness
5352,feel frightened document way feeling,"['feel', 'frightened', 'document', 'way', 'feeling']",5,fear
5353,feel stubborn team want positive reaction game even get result,"['feel', 'stubborn', 'team', 'want', 'positive', 'reaction', 'game', 'even', 'get', 'result']",10,anger
5354,suppose bit occasion become horrible annoying person feel strange,"['suppose', 'bit', 'occasion', 'become', 'horrible', 'annoying', 'person', 'feel', 'strange']",9,fear
5355,feel uncertain something act positive powerful way,"['feel', 'uncertain', 'something', 'act', 'positive', 'powerful', 'way']",7,fear
5363,rushing around kit ready fly gambia instead sat feeling rather melancholy emotional supping small well fairly small,"['rushing', 'around', 'kit', 'ready', 'fly', 'gambia', 'instead', 'sat', 'feeling', 'rather', 'melancholy', 'emotional', 'supping', 'small', 'well', 'fairly', 'small']",17,sadness
5364,left feeling pretty,"['left', 'feeling', 'pretty']",3,sadness
5365,feel anxious usually around time night,"['feel', 'anxious', 'usually', 'around', 'time', 'night']",6,fear
5369,get another call frantic junior file obviously ta help feeling like rude mean went like yeah sorry dont,"['get', 'another', 'call', 'frantic', 'junior', 'file', 'obviously', 'ta', 'help', 'feeling', 'like', 'rude', 'mean', 'went', 'like', 'yeah', 'sorry', 'dont']",18,anger
5370,feel rebellious think let,"['feel', 'rebellious', 'think', 'let']",4,anger
5371,feel like ugly day ugly phase call unattractive unattractive odd way,"['feel', 'like', 'ugly', 'day', 'ugly', 'phase', 'call', 'unattractive', 'unattractive', 'odd', 'way']",11,sadness
5372,feel offended form make big end doesnt bother learned show ball past say think anonymous would give weight content comment would question behind,"['feel', 'offended', 'form', 'make', 'big', 'end', 'doesnt', 'bother', 'learned', 'show', 'ball', 'past', 'say', 'think', 'anonymous', 'would', 'give', 'weight', 'content', 'comment', 'would', 'question', 'behind']",23,anger
